DATE,RAINFALL(mm)
07182014,0
07192014,3
07202014,0
07212014,0
07222014,0
07232014,2
07242014,23
07252014,0
07262014,1
07272014,0
07282014,0
07292014,3
07302014,79
07312014,15
08012014,6
08022014,15
08032014,4
08042014,0
08052014,2
08062014,5
08072014,1
08082014,0
08092014,0
08102014,0
08112014,0
08122014,12
08132014,3
08142014,0
08152014,0
08162014,0
08172014,0
08182014,0
08192014,0
08202014,0
08212014,0
08222014,0
08232014,0
08242014,0
08252014,0
08262014,0
08272014,0
08282014,1
08292014,0
08302014,39
08312014,61
09012014,51
09022014,0
09032014,2
09042014,33
09052014,0
09062014,0
09072014,0
09082014,62
09092014,77
09102014,53
09112014,0
09122014,6
09132014,0
09142014,0
09152014,1
09162014,0
09172014,0
09182014,0
09192014,0
09202014,0
09212014,0
09222014,0
09232014,0
09242014,0
09252014,0
09262014,0
09272014,0
09282014,0
09292014,0
09302014,0
06012015,0
06022015,0
06032015,0
06042015,0
06052015,0
06062015,0
06072015,0
06082015,0
06092015,0
06102015,0
06112015,0
06122015,2
06132015,0
06142015,0
06152015,0
06162015,0
06172015,0
06182015,0
06192015,0
06202015,0
06212015,0
06222015,0
06232015,2
06242015,168
06252015,0
06262015,0
06272015,0
06282015,0
06292015,0
06302015,0
07012015,0
07022015,0
07032015,0
07042015,0
07052015,0
07062015,0
07072015,0
07082015,0
07092015,0
07102015,0
07112015,0
07122015,0
07132015,3
07142015,0
07152015,0
07162015,0
07172015,0
07182015,0
07192015,1
07202015,0
07212015,10
07222015,4
07232015,0
07242015,2
07252015,25
07262015,30
07272015,52
07282015,0
07292015,20
07302015,0
07312015,0
08012015,0
08022015,0
08032015,0
08042015,0
08052015,0
08062015,0
08072015,0
08082015,0
08092015,0
08102015,0
08112015,0
08122015,0
08132015,0
08142015,2
08152015,0
08162015,0
08172015,3
08182015,10
08192015,0
08202015,0
08212015,0
08222015,0
08232015,0
08242015,0
08252015,0
08262015,0
08272015,0
08282015,0
08292015,0
08302015,0
08312015,0
09012015,0
09022015,0
09032015,0
09042015,0
09052015,0
09062015,0
09072015,0
09082015,0
09092015,0
09102015,0
09112015,0
09122015,0
09132015,0
09142015,0
09152015,0
09162015,0
09172015,0
09182015,55
09192015,21
09202015,4
09212015,8
09222015,7
09232015,0
09242015,0
09252015,0
09262015,0
09272015,0
09282015,0
09292015,0
09302015,0
06012016,0
06022016,0
06032016,0
06072016,0
06082016,0
06092016,0
06102016,0
06122016,0
06132016,0
06142016,0
06152016,0
06162016,0
06172016,0
06182016,0
06192016,0
06212016,0
06272016,1
07022016,4
07032016,0
07042016,1
07052016,0
07062016,0
07072016,0
07082016,0
07092016,1
07102016,0
07112016,27
07122016,20
07132016,7
07142016,1
07152016,37
07162016,1
07172016,6
07182016,4
07192016,3
07202016,0
07212016,0
07222016,0
07232016,0
07242016,0
07252016,2
07262016,0
07272016,5
07282016,1
07292016,0
07302016,0
07312016,1
08012016,0
08022016,0
08032016,2
08042016,8
08052016,104
08062016,32
08072016,2
08082016,16
08092016,22
08102016,19
08112016,1
08122016,0
08132016,0
08142016,0
08152016,0
08162016,0
08172016,0
08182016,0
08192016,1
08202016,3
08212016,13
08222016,1
08232016,1
08242016,24
08252016,3
08262016,0
08272016,8
08282016,0
08292016,0
08302016,9
08312016,0
09012016,3
09022016,3
09032016,0
09042016,0
09052016,0
09062016,0
09072016,3
09082016,0
09092016,0
09102016,0
09112016,0
09122016,0
09132016,0
09142016,0
09152016,0
09162016,0
09172016,0
09182016,16
09192016,0
09202016,0
09212016,0
09222016,7
09232016,0
09242016,0
09252016,0
09262016,0
09272016,0
09282016,0
09292016,0
09302016,0
06012017,0
06022017,0
06032017,0
06042017,0
06052017,0
06062017,0
06072017,0
06082017,0
06092017,0
06102017,3
06112017,0
06122017,0
06132017,0
06142017,0
06152017,0
06162017,0
06172017,0
06182017,0
06192017,0
06202017,0
06212017,0
06222017,0
06232017,1
06242017,3
06252017,0
06262017,8
06272017,5
06282017,1
06292017,6
06302017,6
07012017,41
07022017,0
07032017,38
07042017,0
07052017,0
07062017,0
07072017,8
07082017,9
07092017,0
07102017,1
07112017,2
07122017,5
07132017,4
07142017,16
07152017,29
07162017,2
07172017,0
07182017,66
07192017,0
07202017,70
07212017,30.5
07222017,102
07232017,28
07242017,0
07252017,29.5
07262017,69
07272017,147.5
07282017,2
07292017,0
07302017,0
07312017,4
08012017,0
08022017,4.5
08032017,0
08042017,0
08052017,0
08062017,0
08072017,9.5
08082017,0
08092017,0
08102017,0
08112017,3.5
08122017,1
08132017,0
08142017,0
08152017,0
08162017,0
08172017,0
08182017,0
08192017,0
08202017,62.5
08212017,3
08222017,0
08232017,2.5
08242017,0.5
08252017,0
08262017,0
08272017,10.5
08282017,4.5
08292017,34
08302017,14
08312017,7.5
09012017,3
09022017,18.5
09032017,4.5
09042017,0
09052017,0
09062017,0
09072017,0
09082017,0
09092017,0
09102017,0.5
09112017,2.5
09122017,0
09132017,0
09142017,0.5
09152017,0.5
09162017,22
09172017,0
09182017,0
09192017,0
09202017,0
09212017,0
09222017,0
09232017,0.5
09242017,0
09252017,0
09262017,0
09272017,0
09282017,0
09292017,0
09302017,0
06012018,0
06022018,0
06032018,0
06042018,0
06052018,0
06062018,0
06072018,0
06082018,0
06092018,0
06102018,0
06112018,0
06122018,0
06132018,0
06142018,0
06152018,0
06162018,0
06172018,0
06182018,0
06192018,0
06202018,0
06212018,0
06222018,0
06232018,0
06242018,12
06252018,0
06262018,0
06272018,0
06282018,0
06292018,0
06302018,0
07012018,0
07022018,2.5
07032018,2.5
07042018,0
07052018,0.5
07062018,0
07072018,0.5
07082018,0
07092018,0
07102018,4.5
07112018,7
07122018,0
07132018,0
07142018,0
07152018,2
09062018,0
09072018,0
09082018,0
09092018,0
09102018,0
09112018,0
09122018,0
09132018,0
09142018,0
09152018,0
09162018,0
09172018,0
09182018,0
09192018,0
09202018,0
09212018,0
09222018,19
09232018,3
09242018,0
09252018,0
09262018,0
09272018,0
09282018,0
09292018,0
09302018,0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
