DATE,RAINFALL(mm)
06212015,0
06222015,0
06232015,0
06242015,1
06252015,1
06262015,0
06272015,0
06282015,0
06292015,0
06302015,0
07012015,0
07022015,0
07032015,0
07042015,0
07052015,0
07062015,0
07072015,0
07082015,0
07092015,0
07102015,0
07112015,0
07122015,0
07132015,0
07142015,0
07152015,0
07162015,0
07172015,0
07182015,0
07192015,0
07202015,0
07212015,0
07222015,0
07232015,1
07242015,0
07252015,0
07262015,1
07272015,0
07282015,0
07292015,1
07302015,0
07312015,0
08012015,0
08022015,1
08032015,0
08042015,0
08052015,0
08062015,0
08072015,0
08082015,0
08092015,0
08102015,0
08112015,0
08122015,0
08132015,0
08142015,0
08152015,1
08162015,0
08172015,0
08182015,1
08192015,0
08202015,0
08212015,0
08222015,1
08232015,0
08242015,0
08252015,0
08262015,0
08272015,0
08282015,0
08292015,0
08302015,0
08312015,0
09012015,0
09022015,0
09032015,0
09042015,1
09052015,0
09062015,0
09072015,0
09082015,0
09092015,0
09102015,0
09112015,0
09122015,0
09132015,0
09142015,0
09152015,0
09162015,0
09172015,0
09182015,35
09192015,14
09202015,2
09212015,9
09222015,1
09232015,0
09242015,0
09252015,0
09262015,0
09272015,0
09282015,0
09292015,0
09302015,0
06012016,0
06022016,0
06032016,0
06042016,0
06052016,0
06062016,0
06072016,0
06082016,0
06092016,0
06102016,0
06112016,0
06122016,0
06132016,0
06142016,0
06152016,0
06162016,0
06172016,0
06182016,0
06192016,0
06202016,0
06212016,0
06222016,0
06232016,0
06242016,0
06252016,1
06262016,0
06272016,0
06282016,0
06292016,0
06302016,0
07012016,0
07022016,0
07032016,6
07042016,0
07052016,0
07062016,0
07072016,0
07082016,0
07092016,0
07102016,0
07112016,12
07122016,12
07132016,10
07142016,11
07152016,1
07162016,11
07172016,0
07182016,0
07192016,5
07202016,0
07212016,0
07222016,0
07232016,0
07242016,0
07252016,0
07262016,0
07272016,1
07282016,0
07292016,0
07302016,3
07312016,0
08012016,0
08022016,0
08032016,0
08042016,11
08052016,39
08062016,35
08072016,7
08082016,11
08092016,38
08102016,28
08112016,0
08122016,0
08132016,0
08142016,0
08152016,0
08162016,0
08172016,0
08182016,0
08192016,0
08202016,0
08212016,5
08222016,2
08232016,6
08242016,7
08252016,8
08262016,1
08272016,0
08282016,1
08292016,28
08302016,0
08312016,0
09012016,12
09022016,0
09032016,0
09042016,0
09052016,0
09062016,0
09072016,1
09082016,0
09092016,0
09102016,0
09112016,0
09122016,0
09132016,0
09142016,0
09152016,0
09162016,0
09172016,0
09182016,8
09192016,0
09202016,0
09212016,0
09222016,0
09232016,0
09242016,0
09252016,0
09262016,0
09272016,0
09282016,0
09292016,0
09302016,0
06012017,0
06022017,0
06032017,0
06042017,0
06052017,0
06062017,0
06072017,0
06082017,1
06092017,2
06102017,2
06112017,0
06122017,0
06132017,1
06142017,0
06152017,0
06162017,0
06172017,0
06182017,0
06192017,0
06202017,0
06212017,0
06222017,0
06232017,1
06242017,1
06252017,1
06262017,0
06272017,1
06282017,0
06292017,0
06302017,1
07012017,0
07022017,0
07032017,0.5
07042017,0.5
07052017,0
07062017,0
07072017,0
07082017,0
07092017,0
07102017,0
07112017,0
07122017,1
07132017,0
07142017,0
07152017,0
07162017,0
07172017,0
07182017,0
07192017,1
07202017,0
07212017,0
07222017,0
07232017,0
07242017,0
07252017,0.5
07262017,0
07272017,0.5
07282017,0
07292017,0
07302017,0
07312017,0
08012017,1
08022017,0
08032017,0
08042017,0
08052017,0
08062017,0
08072017,0.5
08082017,0
08092017,0
08102017,0
08112017,0
08122017,0
08132017,0
