DATE,RAINFALL(mm)
08-04-2014,1
08-05-2014,1
08-06-2014,10
08-07-2014,13
08-08-2014,1
08-09-2014,0
08-10-2014,0
08-11-2014,0
08-12-2014,0
08/13/2014,0
08/14/2014,2
08/15/2014,2
08/16/2014,0
08/17/2014,0
08/18/2014,0
08/19/2014,0
08/20/2014,0
08/21/2014,0
08/22/2014,0
08/23/2014,10
08/24/2014,5
08/25/2014,14
08/26/2014,0
08/27/2014,0
08/28/2014,0
08/29/2014,8
08/30/2014,3
08/31/2014,0
09-01-2014,14
09-02-2014,25
09-03-2014,44
09-04-2014,25
09-05-2014,4
09-06-2014,0
09-07-2014,0
09-08-2014,12
09-09-2014,86
09-10-2014,8
09-11-2014,0
06-01-2015,0
06-02-2015,6
06-03-2015,3
06-04-2015,0
06-05-2015,0
06-06-2015,0
06-07-2015,0
06-08-2015,0
06-09-2015,0
06-10-2015,0
06-11-2015,14
06-12-2015,17
06/13/2015,3
06/14/2015,2
06/15/2015,1
06/16/2015,0
06/17/2015,2
06/18/2015,1
06/19/2015,1
06/20/2015,0
06/21/2015,1
06/22/2015,4
06/23/2015,2
06/24/2015,1
06/25/2015,2
06/26/2015,2
06/27/2015,2
06/28/2015,2
06/29/2015,3
06/30/2015,2
07-01-2015,2
07-02-2015,2
07-03-2015,2
07-04-2015,1
07-05-2015,1
07-06-2015,1
07-07-2015,1
07-08-2015,1
07-09-2015,1
07-10-2015,0
07-11-2015,1
07-12-2015,0
07/13/2015,1
07/14/2015,0
07/15/2015,0
07/16/2015,1
07/17/2015,0
07/18/2015,0
07/19/2015,0
07/20/2015,0
07/21/2015,14
07/22/2015,4
07/23/2015,0
07/24/2015,0
07/25/2015,1
07/26/2015,0
07/27/2015,104
07/28/2015,96
07/29/2015,110
07/30/2015,19
07/31/2015,3
08-01-2015,1
08-02-2015,1
08-03-2015,3
08-04-2015,4
08-05-2015,2
08-06-2015,1
08-07-2015,2
08-08-2015,1
08-09-2015,0
08-10-2015,0
08-11-2015,0
08-12-2015,1
08/13/2015,0
08/14/2015,0
08/15/2015,0
08/16/2015,1
08/17/2015,0
08/18/2015,0
08/19/2015,0
08/20/2015,0
08/21/2015,1
08/22/2015,0
08/23/2015,0
08/24/2015,0
08/25/2015,0
08/26/2015,0
08/27/2015,0
08/28/2015,0
08/29/2015,0
08/30/2015,0
08/31/2015,0
09-01-2015,0
09-02-2015,0
09-03-2015,0
09-04-2015,1
09-05-2015,0
09-06-2015,0
09-07-2015,0
09-08-2015,0
09-09-2015,0
09-10-2015,0
09-11-2015,0
09-12-2015,0
09/13/2015,0
09/14/2015,0
09/15/2015,0
09/16/2015,0
09/17/2015,0
09/18/2015,0
09/19/2015,0
09/20/2015,0
09/21/2015,0
09/22/2015,0
09/23/2015,0
09/24/2015,0
09/25/2015,0
09/26/2015,1
09/27/2015,1
09/28/2015,1
09/29/2015,0
09/30/2015,0
06-01-2016,0
06-02-2016,0
06-03-2016,0
06-04-2016,0
06-05-2016,0
06-06-2016,0
06-07-2016,0
06-08-2016,0
06-09-2016,0
06-10-2016,0
06-11-2016,0
06-12-2016,0
06/13/2016,0
06/14/2016,0
06/15/2016,0
06/16/2016,0
06/17/2016,0
06/18/2016,0
06/19/2016,0
06/20/2016,0
06/21/2016,0
06/22/2016,0
06/23/2016,0
06/24/2016,0
06/25/2016,0
06/26/2016,0
06/27/2016,0
06/28/2016,0
06/29/2016,0
06/30/2016,0
07-01-2016,0
07-02-2016,0
07-03-2016,0
07-04-2016,0
07-05-2016,0
07-06-2016,0
07-07-2016,0
07-08-2016,0
07-09-2016,0
07-10-2016,0
07-11-2016,0
07-12-2016,0
07/13/2016,0
07/14/2016,0
07/15/2016,0
07/16/2016,0
07/17/2016,0
07/18/2016,0
07/19/2016,0
07/20/2016,0
07/21/2016,0
07/22/2016,0
07/23/2016,0
07/24/2016,0
07/25/2016,0
07/26/2016,0
07/27/2016,0
07/28/2016,0
07/29/2016,0
07/30/2016,0
07/31/2016,0
08-01-2016,0
08-02-2016,0
08-03-2016,0
08-04-2016,0
08-05-2016,0
08-06-2016,0
08-07-2016,0
08-08-2016,0
08-09-2016,0
08-10-2016,0
08-11-2016,0
08-12-2016,0
08/13/2016,0
08/14/2016,0
08/15/2016,0
08/16/2016,0
08/17/2016,0
08/18/2016,0
08/19/2016,0
08/20/2016,0
08/21/2016,0
08/22/2016,0
08/23/2016,0
08/24/2016,5
08/25/2016,1
08/26/2016,0
08/27/2016,0
08/28/2016,0
08/29/2016,0
08/30/2016,0
08/31/2016,0
09-01-2016,0
09-02-2016,0
09-03-2016,0
09-04-2016,0
09-05-2016,0
09-06-2016,0
09-07-2016,0
09-08-2016,0
09-09-2016,0
09-10-2016,0
09-11-2016,0
09-12-2016,0
09/13/2016,0
09/14/2016,0
09/15/2016,0
09/16/2016,0
09/17/2016,0
09/18/2016,0
09/19/2016,0
09/20/2016,0
09/21/2016,0
09/22/2016,0
09/23/2016,0
09/24/2016,0
09/25/2016,0
09/26/2016,0
09/27/2016,0
09/28/2016,0
09/29/2016,0
09/30/2016,0
06-01-2017,0
06-02-2017,0
06-03-2017,0
06-04-2017,0
06-05-2017,0
06-06-2017,0
06-07-2017,0
06-08-2017,0
06-09-2017,0
06-10-2017,0
06-11-2017,0
06-12-2017,0
06/13/2017,0
06/14/2017,0
06/15/2017,0
06/16/2017,0
06/17/2017,0
06/18/2017,0
06/19/2017,0
06/20/2017,0
06/21/2017,0
06/22/2017,0
06/23/2017,0
06/24/2017,0
